年度,學號,
106,02111383,"R,C"
106,02113043,"I,A"
106,02114210,"C,I,S"
106,02114288,"A,S"
106,02115158,"E,S,C"
106,02116139,"S,E"
106,02132020,"I,S,A"
106,02132029,"I,A,E"
106,02132084,"E,I,C"
106,02134005,"I,C,R"
106,02134081,"I,C"
106,02141281,"I,E,R,S"
106,02141324,"E,S,A"
106,02141451,"A,S,I"
106,02321005,"I,S"
106,02611003,"S,A,I"
106,02622143,"E,S,C"
106,02622167,"A,C"
106,03111137,"C,E,I"
106,03111201,"E,C"
106,03111244,"A,E,S"
106,03111303,"A,S,I"
106,03111331,"C,E,I,S"
106,03111389,"A,C,S"
106,03113004,"I,E,R"
106,03113022,"S,E"
106,03113039,"E,S"
106,03113051,"E,A"
106,03114152,"A,C,E,R"
106,03114235,"C,E,I"
106,03115222,"I,S,A,R"
106,03115230,"C,S,I"
106,03115261,"A,E"
106,03116101,"S,A,C"
106,03116106,"S,A,R"
106,03116111,"C,I"
106,03116115,"S,A,I,R"
106,03116118,"A,S"
106,03116119,"C,I,R"
106,03116120,"C,A,R"
106,03116121,"S,C,A"
106,03116125,"C,S,E,I"
106,03116130,"A,C,I,S"
106,03116131,"I,R,C"
106,03116132,"A,C,S"
106,03116137,"A,S,C,R"
106,03116139,"C,A"
106,03116141,"S,C,R"
106,03116146,"S,C,R"
106,03116148,"C,S"
106,03116149,"A,R,S"
106,03116155,"A,S,E"
106,03116157,"S,R,E"
106,03116158,"A,C,S"
106,03116160,"A,C,E"
106,03116164,"S,A"
106,03116181,"S,E,A"
106,03116182,"I,C,R"
106,03116202,"A,I,S"
106,03116209,A
106,03116210,"S,A,E"
106,03116213,"C,E"
106,03116215,"S,C,E"
106,03116216,I
106,03116217,"I,A,S"
106,03116221,"S,E,A"
106,03116228,"C,A,S"
106,03116230,"C,I,S"
106,03116232,"C,I,S"
106,03116233,"C,I,E,R"
106,03116237,"E,A,I,R"
106,03116238,"C,I"
106,03116242,"C,E"
106,03116252,"S,C,R"
106,03116254,"E,C,S"
106,03116255,"S,C"
106,03116258,"S,E,R"
106,03116261,"S,A,E"
106,03116281,"S,A,I"
106,03116282,"C,I"
106,03121114,"S,A,E"
106,03121131,"S,A,E"
106,03121144,"I,C,R"
106,03121155,"C,S,I"
106,03121330,"C,R,S"
106,03122104,"A,E"
106,03122146,"A,R"
106,03122149,"C,R"
106,03122171,"A,C"
106,03122201,"S,I,R"
106,03122208,"A,I"
106,03122220,"E,A,C"
106,03122223,"I,A,S"
106,03122229,"A,C,I,S"
106,03122230,"A,R,S"
106,03122232,"I,C,E"
106,03122237,
106,03122239,"A,C,E"
106,03122245,"A,I"
106,03122254,"C,A"
106,03122284,"C,R,S"
106,03122311,"A,C"
106,03122313,"C,E,S"
106,03122317,"E,S,A"
106,03122322,"A,I,R"
106,03122334,"A,C,I"
106,03123023,"A,E,S"
106,03123036,"A,S"
106,03123037,"C,I"
106,03123054,"A,S,C"
106,03123071,"C,I,S"
106,03123901,"I,A,E,S"
106,03131023,"E,C,S"
106,03131026,"R,I,S"
106,03131045,"I,R,S"
106,03132019,"I,C,A"
106,03133001,"C,I,R"
106,03133003,"I,C,R"
106,03133004,"I,C,R"
106,03133006,"R,A,C,I"
106,03133011,"C,E,R"
106,03133012,"I,S,R"
106,03133013,"I,A,R"
106,03133022,"C,I,R"
106,03133024,"R,C,E,I"
106,03133025,"C,R,S"
106,03133027,"C,R,S"
106,03133028,"I,S,E"
106,03133029,"A,S"
106,03133030,"S,E"
106,03133032,"I,A,S"
106,03133033,"C,I,R"
106,03133035,"E,A,I"
106,03133036,"E,A,R"
106,03133037,"R,I,A"
106,03133038,"C,R,A,I"
106,03133040,"C,S"
106,03133042,"I,S"
106,03133046,"I,S,R"
106,03133050,"R,C,I"
106,03133051,I
106,03133052,"A,C,R,S"
106,03133053,"I,C,R"
106,03133054,"S,I,E"
106,03133056,"I,R"
106,03133059,"R,S"
106,03133060,"C,I,R"
106,03133072,"R,S"
106,03133901,"A,I,R"
106,03134003,"S,I,C"
106,03134004,"I,R,A"
106,03134005,"C,I,R"
106,03134006,"C,I,R"
106,03134007,"I,C,S"
106,03134008,"I,C,R"
106,03134009,"A,I,R,S"
106,03134010,"I,R"
106,03134012,"I,S,A"
106,03134015,"S,C"
106,03134016,"I,C,R"
106,03134017,"S,I,E"
106,03134019,"C,I,R,S"
106,03134020,"E,I,S"
106,03134021,"I,R,C"
106,03134023,"C,R"
106,03134024,"C,I,R"
106,03134025,"I,C,R"
106,03134026,"I,A"
106,03134027,"A,E,S"
106,03134029,"I,E,R,S"
106,03134031,"A,C,R"
106,03134033,"C,S,I"
106,03134035,"I,C,R"
106,03134036,"C,E,S"
106,03134037,"A,S"
106,03134039,"S,R,A"
106,03134040,"C,I"
106,03134041,"E,I,S"
106,03134042,"I,R,A"
106,03134045,"I,S,C"
106,03134046,"I,C,S"
106,03134048,"A,R,I"
106,03134049,"C,I,R"
106,03134052,"E,C,S"
106,03134053,"I,A,R"
106,03134054,"I,R,S"
106,03134055,"C,R"
106,03134056,"C,S,E"
106,03134058,"I,A"
106,03134059,"I,A,R"
106,03134083,"I,S,A"
106,03134901,"I,C,R"
106,03135024,"A,C"
106,03135981,"A,S,I"
106,03151115,"C,R"
106,03151254,"S,A,E"
106,03151257,"C,S,I"
106,03151302,"C,E"
106,03151331,"A,E,I"
106,03151354,"E,I,R"
106,03151387,"E,S,C"
106,03153124,"E,S,C"
106,03153208,"E,A,S"
106,03153216,"C,E"
106,03153242,"A,I,S"
106,03153243,"C,A"
106,03153245,"C,R,S"
106,03153259,"E,S,A"
106,03153285,"C,E,R"
106,03153306,"S,C,A"
106,03153313,"C,I,A,E"
106,03153323,"A,E,S"
106,03153327,"A,S,I"
106,03153347,"I,R"
106,03153501,"E,S,A"
106,03154172,"S,C,E"
106,03155115,"E,A,S"
106,03155128,"C,E,I"
106,03155132,"A,E,S"
106,03155136,"S,E,I"
106,03155158,"C,E,S"
106,03155212,"A,C,E"
106,03155254,"S,C"
106,03155286,"I,R,C"
106,03155287,"C,I,R"
106,03155319,"C,R,A,S"
106,03155328,"C,R"
106,03155332,"C,R"
106,03155348,"E,C,R"
106,03155351,"R,E"
106,03155353,"I,A"
106,03155357,"E,S,C"
106,03156125,"A,C"
106,03312011,"A,C,R"
106,04111125,"E,A"
106,04111171,"A,S,C"
106,04111188,"C,E,I,S"
106,04111214,"A,I,R"
106,04111228,"A,I,C"
106,04111244,"A,E,S"
106,04111247,"C,A,I"
106,04111249,"A,I"
106,04111254,"C,A,S"
106,04111255,"S,A,E"
106,04111272,"A,C,R"
106,04111284,"A,E,R"
106,04111286,"I,C,E"
106,04111287,"A,S"
